rank	gene	description	N	n	npat	nsite	nsil	nnei	nncd	nmis	nstp	nspl	nind	pCV	pCL	pFN	p	q
1	APC	adenomatous polyposis coli	8592	414	302	200	2	1	0	22	263	14	115	4.11E-15	0.00001	1	1E-16	2.61E-13
2	TP53	tumor protein p53	1888	291	277	126	0	2	1	212	36	14	29	1E-16	0.00001	0.00001	1E-16	2.61E-13
3	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	155	152	15	2	10	0	155	0	0	0	1E-16	0.00001	0.00065	1E-16	2.61E-13
4	SMAD4	SMAD family member 4	1699	62	56	47	1	25	0	47	11	2	2	1E-16	0.00005	0.0114	1E-16	2.61E-13
5	BRAF	v-raf murine sarcoma viral oncogene homolog B1	2371	57	53	15	0	14	0	56	0	1	0	2.29E-15	0.00001	0.00001	1E-16	2.61E-13
6	FBXW7	F-box and WD repeat domain containing 7	2580	61	53	37	1	8	3	40	16	2	3	3.01E-15	0.00002	0.00428	1E-16	2.61E-13
7	ZFP36L2	zinc finger protein 36, C3H type-like 2	1489	31	28	25	2	11	0	5	2	0	24	2.18E-16	0.0017	0.144	1E-16	2.61E-13
8	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	29	28	26	0	5	0	21	5	1	2	1E-16	0.644	0.055	8.88E-16	2.03E-12
9	SOX9	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)	1538	42	40	42	1	14	0	6	10	0	26	2.04E-15	0.985	0.934	7.12E-14	1.45E-10
10	RNF43	ring finger protein 43	2384	17	17	17	1	7	0	6	4	1	6	2.97E-14	0.298	0.612	2.69E-13	4.92E-10
11	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	2138	27	25	27	2	37	1	15	5	4	3	3.19E-14	0.769	0.193	3.54E-13	5.89E-10
12	CTCF	CCCTC-binding factor (zinc finger protein)	2224	19	19	14	0	18	0	11	3	4	1	2.01E-13	0.15	0.448	1.56E-12	2.38E-09
13	PCBP1	poly(rC) binding protein 1	1071	18	18	2	1	7	0	18	0	0	0	4.77E-08	0.00001	0.00001	1.4E-11	1.97E-08
